Kabupaten/Kota/Regency/Municipality,Pendapatan/Revenues,Belanja/Expenditures
Pacitan,1615114387846.0,1665549144945.82
Ponorogo,2280253624958.67,2322805767564.09
Trenggalek,1783656956465.47,1946046774834.78
Tulungagung,2584915681735.77,2800598386012.13
Blitar,2361756636564.51,2456663058142.18
Kediri,2722803932568.56,3149740395312.47
Malang,3800114750714.82,4050668474662.23
Lumajang,2094116512299.3,2256619621618.47
Jember,3601294429685.5,4163624940931.97
Banyuwangi,3112910584037.82,2932152201493.82
Bondowoso,2054792275602.83,2171884322387.31
Situbondo,1729391756376.9,1849288303240.09
Probolinggo,2150613638624.38,2325106278976.72
Pasuruan,3258476590551.69,3376868296332.53
Sidoarjo,4124471103455.83,5005097845031.35
Mojokerto,2392324886534.77,2672024585315.54
Jombang,2489476899944.85,2832829111562.94
Nganjuk,2324690319859.31,2617124429605.65
Madiun,1788177228001.0,1812000389361.0
Magetan,1746041429722.08,1921830391205.08
Ngawi,1992494803197.85,2172957671262.18
Bojonegoro,3350746300371.78,3628531299762.72
Tuban,2325695728754.1,2596899799569.44
Lamongan,2904681838535.0,2950680611024.51
Gresik,2870853525257.0,3036339122030.74
Bangkalan,2071928257959.4,2260903470049.51
Sampang,1713487271710.06,1834655838274.49
Pamekasan,1761281131744.0,2138127562564.0
Sumenep,2231188899160.0,2486861383624.0
Kediri,1225131169223.25,1425225617136.69
Blitar,844692292324.05,972204365136.51
Malang,1986432106698.91,2360831551277.57
Probolinggo,833603523833.37,907766807435.83
Pasuruan,860332267210.24,1006333411941.04
Mojokerto,903893040082.0,978603405644.03
Madiun,977096842937.0,1285587599826.46
Surabaya,927740607523.39,1066290673712.87
Batu,8079142194268.0,9268450333673.0
Jawa Timur,87875815426339.5,96705773242481.7
